,q_1,q_2,q_3,q_4,q_5,q_6,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_7,q_8
0,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Non saprei,3,4,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['I miei amici e le mie amiche']
1,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,3,1,Sono diverse con aspetti comuni,Non credo in nulla,3,4,Si,2,3,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Televisione', ' Giornali']","['La mia famiglia', ' I miei amici e le mie amiche']"
2,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,4,Si,3,3,Non saprei,Non saprei,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['I miei amici e le mie amiche']
3,No,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Non credo in nulla,4,5,Si,2,2,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Non ho una passione per le stelle']
4,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Mistica,Introspettiva,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,4,5,Si,1,1,Mi è indifferente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,['Blog specializzati'],['Pochi intimi (una persona di fiducia)']
5,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,2,5,Si,4,3,Non saprei,Sono due concetti differenti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,"['Social network', ' Televisione']",['Pochi intimi (una persona di fiducia)']
6,Sole e ascendente,Non saprei,Mai,Introspettiva,Mistica,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,4,Si,3,3,Impotente,Non saprei,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Non ho una passione per le stelle']
7,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse,Non credo in nulla,3,3,Si,2,1,Non saprei,Sono sinonimi,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network', ' Giornali']",['I miei amici e le mie amiche']
8,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Introspettiva,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Non credo in nulla,2,5,Si,3,3,Non saprei,Non saprei,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
9,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Predittiva del futuro,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,3,4,Si,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
10,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,3,3,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,3,Non saprei,4,2,Più sicuro,Sono due concetti differenti,A volte,Femminile,31-50,Laurea magistrale,Nord Italia,['Social network'],"['La mia famiglia', ' Le mie amiche', ' I social']"
11,Si,Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Mistica,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono visioni mutualmente esclusive,Non credo in nulla,2,1,Si,1,1,Mi è indifferente,Sono due concetti differenti,Non saprei,Maschile,18-30,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Studio autonomamente testi del settore']",['I miei amici e le mie amiche']
12,Sole e ascendente,Sono la stessa cosa,Quando mi capita,Predittiva del futuro,Mistica,In età adulta,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,3,Si,2,2,Non saprei,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Le mie amiche']
13,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,2,Non saprei,4,3,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Televisione'],['Non ho una passione per le stelle']
14,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Credo in una o più entità superiore/i,3,4,Si,2,2,Mi è indifferente,Sono due concetti differenti,Dipende,Femminile,31-50,Phd (above and beyond),Nord Italia,['Giornali'],['Non ho una passione per le stelle']
15,Sole e ascendente,Sono due cose diverse,Quando mi capita,Ricreativa,Non hanno nessuna funzione,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Si,3,3,Mi è indifferente,Non saprei,No,Femminile,18-30,Laurea Triennale,Nord Italia,"['Social network', ' Televisione', ' Giornali']",['Le mie amiche']
16,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa e sono praticante,3,3,Si,3,3,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Nessuno']
17,Solo il sole (il segno),Sono due cose diverse,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,3,3,Si,2,2,Più sicuro,Sono due concetti differenti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Blog specializzati'],['Pochi intimi (una persona di fiducia)']
18,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Predittiva del futuro,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono visioni mutualmente esclusive,Ho una fede religiosa e sono praticante,4,3,Si,1,1,Impotente,Sono due concetti differenti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
19,Si,Sono due cose diverse,Quando mi capita,Predittiva del futuro,Ricreativa,In età adulta,Essere considerata come uno svago,2,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,1,4,Si,3,4,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Maschile,31-50,Phd (above and beyond),Nord Italia,"['Social network', ' Giornali']","['Pochi intimi (una persona di fiducia)', ' Le mie amiche', ' I miei amici']"
20,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,3,3,Si,2,2,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']",['Le mie amiche']
